codi,nota
81022,8.022
81023,8.170
81032,7.165
81033,9.728
81034,8.202
81036,5.000
81038,5.000
81039,5.934
81040,7.450
81042,8.147
81043,8.116
81044,7.210
81045,5.000
81047,10.176
81048,9.262
81049,9.936
81050,7.718
81051,5.000
81054,9.548
81056,9.764
81057,9.762
81058,5.000
81059,7.053
81062,5.000
81063,10.530
81064,5.000
81065,8.420
81066,10.340
81068,5.000
81070,5.000
81071,5.000
81072,5.000
81073,5.000
81074,5.000
81075,5.000
81076,5.000
81077,9.404
81078,5.000
81079,5.000
81080,5.668
81081,5.000
81082,6.458
81083,5.000
81084,8.775
81085,7.354
81086,7.096
81087,7.555
81088,8.666
81089,8.126
81090,10.276
81091,8.946
81092,7.058
81093,5.000
81095,9.092
81096,9.824
81097,7.928
81098,8.848
91001,7.230
91003,5.508
91004,7.944
91006,5.000
91007,5.000
91008,5.000
91009,6.550
91010,5.000
91011,5.852
91012,7.510
91013,8.133
91014,5.000
91015,5.000
91016,5.000
91018,6.866
91021,5.000
91022,8.012
91029,5.000
91030,5.000
91032,5.000
91038,5.000
91041,7.681
91042,5.000
91043,8.093
91045,5.000
91050,5.000
91051,6.838
91053,5.000
91054,11.704
91055,6.958
91056,5.000
91057,5.404
91058,10.268
91059,5.000
91060,5.000
91061,11.138
91062,5.000
91063,5.000
91064,8.506
91065,6.791
91066,5.810
91915,12.508
91917,10.704
91923,5.000
91924,7.199
