curs,any,nom_estudis,nom_ensenyament,nivell,alumnes,alumnes_dones,alumnes_homes,unitats,n_centres
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPM - SERVEIS EN RESTAURACIÓ,2,865,267,598,21,21
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPM - SISTEMES MICROINFORMÀTICS I XARXES,1,4143,270,3873,148,99
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPM - SISTEMES MICROINFORMÀTICS I XARXES,2,3799,213,3586,138,99
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPM - SISTEMES MICROINFORMÀTICS I XARXES,NA,504,57,447,0,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPM - SOLDADURA I CALDERERIA,1,172,0,172,8,6
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPM - SOLDADURA I CALDERERIA,2,200,3,197,11,9
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPM - VIDEO DISCJÒQUEI I SO,1,391,81,310,9,10
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPM - VIDEO DISCJÒQUEI I SO,2,309,45,264,9,8
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPM - XARXES I ESTACIONS DE TRACTAMENT D'AIGÜES,1,27,1,26,2,2
2017/2018,2017,FORMACIÓ PROFESSIONAL,"CFPM - XARXES, INSTAL·LACIONS I ESTACIONS DE TRACTAMENT D'AIGUES",2,15,0,15,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ADMINISTRACIÓ DE SISTEMES INFORMÀTICS EN XARXA,1,1326,96,1230,45,44
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ADMINISTRACIÓ DE SISTEMES INFORMÀTICS EN XARXA,2,1135,71,1064,48,48
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ADMINISTRACIÓ DE SISTEMES INFORMÀTICS EN XARXA,NA,741,76,665,0,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ADMINISTRACIÓ DE SISTEMES INFORMÀTICS EN XARXA (CIBERSEGURETAT),1,29,1,28,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ADMINISTRACIÓ DE SISTEMES INFORMÀTICS EN XARXA (CIBERSEGURETAT),2,19,0,19,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ADMINISTRACIÓ I FINANCES,1,3166,1823,1343,123,106
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ADMINISTRACIÓ I FINANCES,2,3895,2378,1517,124,108
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ADMINISTRACIÓ I FINANCES,P,3,3,0,0,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ADMINISTRACIÓ I FINANCES,NA,1675,1369,306,0,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ADMINISTRACIÓ I FINANCES (GESTOR D'ASSEGURANCES),1,23,14,9,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - AGÈNCIES DE VIATGES I GESTIÓ D'ESDEVENIMENTS,1,258,199,59,7,11
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - AGÈNCIES DE VIATGES I GESTIÓ D'ESDEVENIMENTS,2,298,220,78,9,12
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - AGÈNCIES DE VIATGES I GESTIÓ D'ESDEVENIMENTS,P,1,0,1,0,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ANATOMIA PATOLÒGICA I CITODIAGNÒSTIC,1,261,218,43,5,8
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ANATOMIA PATOLÒGICA I CITODIAGNÒSTIC,2,211,174,37,4,7
2017/2018,2017,FORMACIÓ PROFESSIONAL,"CFPS - ANIMACIONS EN 3D, JOCS I ENTORNS INTERACTIUS",1,453,85,368,5,13
2017/2018,2017,FORMACIÓ PROFESSIONAL,"CFPS - ANIMACIONS EN 3D, JOCS I ENTORNS INTERACTIUS",2,444,67,377,5,11
2017/2018,2017,FORMACIÓ PROFESSIONAL,"CFPS - ANIMACIONS EN 3D, JOCS I ENTORNS INTERACTIUS",NA,149,45,104,0,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ANIMACIÓ D'ACTIVITATS FÍSIQUES I ESPORTIVES,1,2342,430,1912,45,57
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ANIMACIÓ D'ACTIVITATS FÍSIQUES I ESPORTIVES,2,2264,386,1878,43,49
2017/2018,2017,FORMACIÓ PROFESSIONAL,"CFPS - ANIMACIÓ EN 3D, JOCS i ENTORNS INTERACTIUS (MONS VIRTUALS, REALITAT AUGMENTADA i GAMIFICACIÓ)",1,233,32,201,0,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,"CFPS - ANIMACIÓ EN 3D, JOCS i ENTORNS INTERACTIUS (MONS VIRTUALS, REALITAT AUGMENTADA i GAMIFICACIÓ)",2,107,21,86,0,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ANIMACIÓ SOCIOCULTURAL I TURÍSTICA,1,257,164,93,13,13
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ANIMACIÓ SOCIOCULTURAL I TURÍSTICA,2,273,183,90,14,14
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - AQÜICULTURA,1,13,1,12,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - AQÜICULTURA,2,23,7,16,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ASSESSORIA D'IMATGE PERSONAL I CORPORATIVA,1,197,183,14,3,9
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ASSESSORIA D'IMATGE PERSONAL I CORPORATIVA,2,218,198,20,3,10
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ASSISTÈNCIA A LA DIRECCIÓ,1,284,220,64,21,14
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ASSISTÈNCIA A LA DIRECCIÓ,2,346,263,83,22,15
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ASSISTÈNCIA A LA DIRECCIÓ,NA,311,293,18,0,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - AUDIOLOGIA PROTÈTICA,1,32,18,14,1,2
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - AUDIOLOGIA PROTÈTICA,2,55,34,21,1,2
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - AUTOMATITZACIÓ I ROBÒTICA INDUSTRIAL,1,854,29,825,33,30
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - AUTOMATITZACIÓ I ROBÒTICA INDUSTRIAL,2,878,28,850,33,30
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - AUTOMOCIÓ,1,1038,38,1000,31,28
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - AUTOMOCIÓ,2,1127,24,1103,30,24
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - CARACTERITZACIÓ I MAQUILLATGE PROFESSIONAL,1,168,157,11,3,6
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - CARACTERITZACIÓ I MAQUILLATGE PROFESSIONAL,2,162,148,14,3,6
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - COMERÇ INTERNACIONAL,1,863,367,496,40,34
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - COMERÇ INTERNACIONAL,2,786,347,439,39,32
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - COMERÇ INTERNACIONAL,NA,330,162,168,0,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - CONSTRUCCIONS METÀL·LIQUES,1,61,2,59,3,3
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - CONSTRUCCIONS METÀL·LIQUES,2,70,1,69,3,3
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DESENV. D'APLICACIONS MULTIPLATAFORMA (INFORMÀTICA APLICADA A LA LOGÍSTICA),1,18,1,17,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DESENV. D'APLICACIONS MULTIPLATAFORMA (INFORMÀTICA APLICADA A LA LOGÍSTICA),2,16,0,16,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DESENV. D'APLICACIONS MULTIPLATAFORMA (VIDEOJOCS I OCI DIGITAL),1,117,5,112,1,5
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DESENV. D'APLICACIONS MULTIPLATAFORMA (VIDEOJOCS I OCI DIGITAL),2,31,0,31,0,2
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DESENVOLUPAMENT D'APLICACIONS MULTIPLATAFORMA,1,1269,108,1161,38,37
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DESENVOLUPAMENT D'APLICACIONS MULTIPLATAFORMA,2,1539,120,1419,40,42
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DESENVOLUPAMENT D'APLICACIONS MULTIPLATAFORMA,NA,774,132,642,0,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DESENVOLUPAMENT D'APLICACIONS WEB,1,923,99,824,33,31
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DESENVOLUPAMENT D'APLICACIONS WEB,2,1289,164,1125,41,42
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DESENVOLUPAMENT D'APLICACIONS WEB,NA,372,75,297,0,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DESENVOLUPAMENT D'APLICACIONS WEB (BIOINFORMÀTICA),1,39,6,33,1,2
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DESENVOLUPAMENT D'APLICACIONS WEB (BIOINFORMÀTICA),2,36,3,33,1,2
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DESENVOLUPAMENT DE PROJECTES D'INSTAL·LACIONS TÈRMIQUES I DE FLUIDS,1,31,3,28,2,2
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DESENVOLUPAMENT DE PROJECTES D'INSTAL·LACIONS TÈRMIQUES I DE FLUIDS,2,24,0,24,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DIETÈTICA,1,1011,700,311,11,17
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DIETÈTICA,2,584,412,172,13,17
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DIRECCIÓ DE CUINA,1,353,97,256,11,13
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DIRECCIÓ DE CUINA,2,492,179,313,12,14
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DIRECCIÓ DE SERVEIS EN RESTAURACIÓ,1,127,49,78,5,7
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DIRECCIÓ DE SERVEIS EN RESTAURACIÓ,2,238,81,157,6,8
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DISSENY EN FABRICACIÓ MECÀNICA,1,242,15,227,15,12
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DISSENY EN FABRICACIÓ MECÀNICA,2,323,12,311,20,13
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DISSENY I EDICIÓ DE PUBL.IMPRESES I MULTIMÈDIA,1,185,74,111,8,8
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DISSENY I EDICIÓ DE PUBL.IMPRESES I MULTIMÈDIA,2,152,65,87,6,6
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DISSENY I GESTIÓ DE LA PRODUCCIÓ GRÀFIC,1,30,15,15,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DISSENY I GESTIÓ DE LA PRODUCCIÓ GRÀFIC,2,64,14,50,3,3
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DISSENY I MOBLAMENT,1,30,2,28,6,2
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DISSENY I MOBLAMENT,2,26,1,25,6,2
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DISSENY I MOBLAMENT (CONSTRUCCIONS EFÍMERES I DECORACIÓ),1,13,1,12,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DISSENY I MOBLAMENT (CONSTRUCCIONS EFÍMERES I DECORACIÓ),2,15,7,8,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DISSENY TÈCNIC EN TÈXTIL i PELL,1,15,9,6,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DISSENY TÈCNIC EN TÈXTIL i PELL,2,11,9,2,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DOCUMENTACIÓ I ADMINISTRACIÓ SANITÀRIA,1,565,461,104,15,18
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DOCUMENTACIÓ I ADMINISTRACIÓ SANITÀRIA,2,432,345,87,15,18
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DOCUMENTACIÓ I ADMINISTRACIÓ SANITÀRIES (GESTIÓ DE DADES),1,34,29,5,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - DOCUMENTACIÓ I ADMINISTRACIÓ SANITÀRIES (GESTIÓ DE DADES),2,27,25,2,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - EDUCACIÓ I CONTROL AMBIENTAL,1,109,38,71,10,6
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - EDUCACIÓ I CONTROL AMBIENTAL,2,116,41,75,9,5
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - EDUCACIÓ INFANTIL,1,2644,2399,245,91,71
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - EDUCACIÓ INFANTIL,2,3503,3169,334,91,74
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - EDUCACIÓ INFANTIL,NA,1337,1287,50,0,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - EFICIÈNCIA ENERGÈTICA I ENERGIA SOLAR I TÈRMICA,1,38,4,34,3,3
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - EFICIÈNCIA ENERGÈTICA I ENERGIA SOLAR I TÈRMICA,2,52,0,52,5,5
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ELECTROMEDICINA CLÍNICA,1,33,2,31,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ELECTROMEDICINA CLÍNICA,2,23,2,21,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ENERGIES RENOVABLES,1,72,3,69,8,4
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ENERGIES RENOVABLES,2,81,2,79,8,4
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ESTILISME I DIRECCIÓ DE PERRUQUERIA,1,92,84,8,4,6
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ESTILISME I DIRECCIÓ DE PERRUQUERIA,2,59,56,3,4,5
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ESTÈTICA INTEGRAL I BENESTAR,1,250,245,5,10,11
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ESTÈTICA INTEGRAL I BENESTAR,2,263,258,5,10,11
2017/2018,2017,FORMACIÓ PROFESSIONAL,"CFPS - FABRICACIÓ DE PRODUCTES FARMACÈUTICS, BIOTECNOLÒGICS I AFINS",1,250,133,117,9,7
2017/2018,2017,FORMACIÓ PROFESSIONAL,"CFPS - FABRICACIÓ DE PRODUCTES FARMACÈUTICS, BIOTECNOLÒGICS I AFINS",2,254,118,136,9,7
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - GESTIÓ D'ALLOTJAMENTS TURÍSTICS,1,399,264,135,16,14
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - GESTIÓ D'ALLOTJAMENTS TURÍSTICS,2,447,304,143,16,15
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - GESTIÓ DE VENDES I ESPAIS COMERCIALS,1,474,209,265,26,24
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - GESTIÓ DE VENDES I ESPAIS COMERCIALS,2,416,192,224,27,26
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - GESTIÓ DE VENDES I ESPAIS COMERCIALS,NA,240,142,98,0,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - GESTIÓ FORESTAL I DEL MEDI NATURAL,1,184,26,158,8,8
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - GESTIÓ FORESTAL I DEL MEDI NATURAL,2,213,26,187,8,8
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - GESTIÓ I ORGANITZACIÓ D'EMPRESES AGROPECUÀRIES,2,5,0,5,1,2
2017/2018,2017,FORMACIÓ PROFESSIONAL,"CFPS - GUIA, INFORMACIÓ I ASSIST. TURÍST. (DINAMITZACIÓ LÚDICA, CULTURAL I FISICORECREATIVA)",1,43,31,12,7,3
2017/2018,2017,FORMACIÓ PROFESSIONAL,"CFPS - GUIA, INFORMACIÓ I ASSIST. TURÍST. (DINAMITZACIÓ LÚDICA, CULTURAL I FISICORECREATIVA)",2,40,28,12,8,4
2017/2018,2017,FORMACIÓ PROFESSIONAL,"CFPS - GUIA, INFORMACIÓ I ASSISTÈNCIA TURÍSTIQUES",1,268,174,94,14,13
2017/2018,2017,FORMACIÓ PROFESSIONAL,"CFPS - GUIA, INFORMACIÓ I ASSISTÈNCIA TURÍSTIQUES",2,312,215,97,14,13
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - HIGIENE BUCODENTAL,1,908,791,117,23,23
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - HIGIENE BUCODENTAL,2,2657,2358,299,23,20
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - HIGIENE BUCODENTAL,P,2,2,0,0,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,"CFPS - IL·LUMINACIÓ, CAPTACIÓ i TRACTAMENT D'IMATGE",1,197,105,92,5,7
2017/2018,2017,FORMACIÓ PROFESSIONAL,"CFPS - IL·LUMINACIÓ, CAPTACIÓ i TRACTAMENT D'IMATGE",2,224,104,120,5,6
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - IMATGE PER AL DIAGNÒSTIC,2,6,5,1,2,4
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - IMATGE PER AL DIAGNÒSTIC I MEDICINA NUCLEAR,1,641,427,214,8,13
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - IMATGE PER AL DIAGNÒSTIC I MEDICINA NUCLEAR,2,570,376,194,9,11
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - INDÚSTRIES DE PROCÉS DE PASTA I PAPER,1,2,1,1,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - INTEGRACIÓ SOCIAL,1,2187,1675,512,64,48
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - INTEGRACIÓ SOCIAL,2,2132,1641,491,62,48
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - INTEGRACIÓ SOCIAL,NA,1643,1360,283,0,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - INTERPRETACIÓ DE LA LLENGUA DE SIGNES,2,1,0,1,0,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - LABORATORI CLÍNIC I BIOMÈDIC,1,792,576,216,22,22
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - LABORATORI CLÍNIC I BIOMÈDIC,2,692,491,201,22,21
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - LABORATORI CLÍNIC I BIOMÈDIC (RECERCA),1,31,21,10,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - LABORATORI CLÍNIC I BIOMÈDIC (RECERCA),2,31,18,13,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - LABORATORI D'ANÀLISI I CONTROL DE QUALITAT,1,472,241,231,18,16
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - LABORATORI D'ANÀLISI I CONTROL DE QUALITAT,2,536,273,263,17,15
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - LABORATORI D'ANÀLISI I CONTROL DE QUALITAT,P,5,1,4,0,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - LABORATORI DE DIAGNÒSTIC CLÍNIC,2,10,7,3,3,5
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - MANTENIMENT AEROMECÀNIC,1,28,0,28,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - MANTENIMENT AEROMECÀNIC,2,30,1,29,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - MANTENIMENT D'AVIÒNICA,2,29,2,27,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - MANTENIMENT D'INSTAL·LACIONS TÈRMIQUES I DE FLUIDS,1,132,2,130,7,7
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - MANTENIMENT D'INSTAL·LACIONS TÈRMIQUES I DE FLUIDS,2,134,0,134,7,7
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - MANTENIMENT ELECTRÒNIC,1,105,6,99,12,8
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - MANTENIMENT ELECTRÒNIC,2,123,8,115,11,7
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - MECATRÒNICA INDUSTRIAL,1,462,12,450,19,19
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - MECATRÒNICA INDUSTRIAL,2,503,15,488,22,22
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - MECATRÒNICA INDUSTRIAL (FABRICACIÓ DE PRODUCTES CERÀMICS),2,7,0,7,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - MEDIACIÓ COMUNICATIVA,1,67,57,10,7,3
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - MEDIACIÓ COMUNICATIVA,2,61,52,9,7,3
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - MÀRQUETING I PUBLICITAT,1,1129,587,542,30,32
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - MÀRQUETING I PUBLICITAT,2,1053,525,528,28,31
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - MÀRQUETING I PUBLICITAT (ENOLÒGIC),1,33,15,18,7,3
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - MÀRQUETING I PUBLICITAT (ENOLÒGIC),2,22,12,10,6,2
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - MÀRQUETING I PUBLICITAT (PROMOCIÓ TURÍSTICA),1,22,14,8,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - MÀRQUETING I PUBLICITAT (PROMOCIÓ TURÍSTICA),2,29,14,15,2,2
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ORGANITZACIÓ DEL MANTENIMENT DE LA MAQUINÀRIA DE VAIXELLS I EMBARCACIONS,1,30,0,30,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ORGANITZACIÓ DEL MANTENIMENT DE LA MAQUINÀRIA DE VAIXELLS I EMBARCACIONS,2,27,2,25,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ORGANITZACIÓ I CONTROL D'OBRES DE CONSTRUCCIÓ,1,9,2,7,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - ORGANITZACIÓ I CONTROL D'OBRES DE CONSTRUCCIÓ,2,22,4,18,2,2
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - PAISATGISME I MEDI RURAL,1,115,22,93,5,6
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - PAISATGISME I MEDI RURAL,2,99,14,85,4,5
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - PAISATGISME I MEDI RURAL (GESTIÓ AGROPECUÀRIA),1,31,2,29,3,3
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - PAISATGISME I MEDI RURAL (GESTIÓ AGROPECUÀRIA),2,60,3,57,3,3
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - PATRONATGE I MODA,1,121,100,21,5,6
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - PATRONATGE I MODA,2,141,124,17,4,5
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - PREVENCIÓ DE RISCOS PROFESSIONALS,1,86,33,53,10,6
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - PREVENCIÓ DE RISCOS PROFESSIONALS,2,90,34,56,10,6
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - PREVENCIÓ DE RISCOS PROFESSIONALS,NA,488,182,306,0,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - PROCESSOS I QUALITAT EN LA INDÚSRIA ALIMENTÀRIA,1,78,32,46,3,4
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - PROCESSOS I QUALITAT EN LA INDÚSRIA ALIMENTÀRIA,2,82,47,35,4,4
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - PRODUCCIÓ D'AUDIOVISUALS I ESPECTACLES,1,169,64,105,6,6
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - PRODUCCIÓ D'AUDIOVISUALS I ESPECTACLES,2,204,83,121,6,6
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - PROGRAMACIÓ DE LA PRODUCCIÓ EN L'EMMOTLLAMENT DE METALLS I POLÍMERS,1,10,0,10,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - PROGRAMACIÓ DE PRODUCCIÓ EN FABRICACIÓ MECANICA (MOTLLES I MATRIUS),1,29,0,29,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - PROGRAMACIÓ DE PRODUCCIÓ EN FABRICACIÓ MECÀNICA,1,286,9,277,17,14
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - PROGRAMACIÓ DE PRODUCCIÓ EN FABRICACIÓ MECÀNICA,2,365,6,359,20,17
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - PROJECTES D'EDIFICACIÓ,1,81,19,62,21,6
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - PROJECTES D'EDIFICACIÓ,2,116,30,86,24,9
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - PROJECTES D'EDIFICACIÓ (REHABILITACIÓ I RESTAURACIÓ),1,56,23,33,4,4
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - PROJECTES D'EDIFICACIÓ (REHABILITACIÓ I RESTAURACIÓ),2,37,14,23,3,3
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - PROJECTES D'OBRA CIVIL,1,13,2,11,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - PROJECTES D'OBRA CIVIL,2,28,4,24,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - PROJECTES D'OBRA CIVIL (SOBREESTANTS),2,12,2,10,1,1
2017/2018,2017,FORMACIÓ PROFESSIONAL,CFPS - PROJECTES D'OBRA CIVIL (ÚS D'APLICACIONS SIG),1,9,1,8,5,1
