curs,any,nom_estudis,nom_ensenyament,nivell,alumnes,alumnes_dones,alumnes_homes,unitats,n_centres
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - ARTS APLICADES DE L'ESCULTURA,2,85,46,39,25,6
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - ARTS APLICADES DE L'ESCULTURA,P,13,5,8,0,1
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - CERÀMICA ARTÍSTICA,1,33,26,7,17,5
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - CERÀMICA ARTÍSTICA,2,28,23,5,17,5
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - CÒMIC,1,35,11,24,2,2
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - CÒMIC,2,17,4,13,2,2
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - ELEMENTS DE JARDÍ,1,5,3,2,0,2
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - ELEMENTS DE JARDÍ,2,3,2,1,0,1
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - ENQUADERNACIÓ ARTÍSTICA,1,2,2,0,5,1
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - ENQUADERNACIÓ ARTÍSTICA,2,9,8,1,5,1
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - ESMALT ARTÍSTIC AL FOC SOBRE METALLS,1,4,4,0,6,2
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - ESMALT ARTÍSTIC AL FOC SOBRE METALLS,2,8,8,0,6,2
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - ESTAMPACIONS I TINTATGES ARTÍSTICS,1,7,7,0,5,1
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - ESTAMPACIONS I TINTATGES ARTÍSTICS,2,14,11,3,5,1
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - ESTILISME D'INDUMENTÀRIA,1,42,35,7,2,2
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - ESTILISME D'INDUMENTÀRIA,2,54,48,6,2,2
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - ESTILISME D'INDUMENTÀRIA,P,11,9,2,0,1
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - FOTOGRAFIA,1,95,64,31,6,5
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - FOTOGRAFIA,2,120,81,39,6,5
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - FOTOGRAFIA ARTÍSTICA,2,36,25,11,0,4
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - GRAVAT I TÈCNIQUES D'ESTAMPACIÓ,1,10,5,5,5,1
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - GRAVAT I TÈCNIQUES D'ESTAMPACIÓ,2,13,10,3,5,1
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - GRÀFICA AUDIOVISUAL,1,46,20,26,2,3
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - GRÀFICA AUDIOVISUAL,2,44,26,18,2,2
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - GRÀFICA AUDIOVISUAL (INFOGRAFIA 3D),1,17,10,7,0,1
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - GRÀFICA AUDIOVISUAL (INFOGRAFIA 3D),2,6,4,2,0,1
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - GRÀFICA IMPRESA,1,75,39,36,8,4
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - GRÀFICA IMPRESA,2,78,50,28,8,4
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - GRÀFICA INTERACTIVA,1,116,46,70,11,8
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - GRÀFICA INTERACTIVA,2,100,46,54,10,8
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - GRÀFICA PUBLICITÀRIA,1,289,156,133,11,12
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - GRÀFICA PUBLICITÀRIA,2,361,204,157,10,15
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - GRÀFICA PUBLICITÀRIA,P,44,22,22,0,5
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - ILUSTRACIÓ,1,297,190,107,16,11
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - ILUSTRACIÓ,2,253,156,97,16,11
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - ILUSTRACIÓ,P,12,7,5,0,3
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - IL·LUSTRACIÓ,2,107,50,57,2,9
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - IL·LUSTRACIÓ,P,17,9,8,0,2
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - JOIERIA ARTÍSTICA,1,89,66,23,9,5
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - JOIERIA ARTÍSTICA,2,107,87,20,9,5
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - JOIERIA ARTÍSTICA,P,14,9,5,0,1
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - MOBILIARI,1,4,2,2,1,1
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - MOBILIARI,2,1,0,1,1,1
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - MOBILIARI,P,4,3,1,0,1
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - MOBLAMENT,2,6,4,2,5,1
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - MODELISME I MAQUETISME,1,2,1,1,0,1
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - MODELISME I MAQUETISME,2,8,1,7,5,1
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - MODELISME INDUSTRIAL,1,42,10,32,6,2
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - MODELISME INDUSTRIAL,2,54,13,41,6,2
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - MODELISME INDUSTRIAL,P,23,4,19,0,1
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - PROJECTES I DIRECCIÓ D'OBRES DE DECORACIÓ,1,210,162,48,32,11
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - PROJECTES I DIRECCIÓ D'OBRES DE DECORACIÓ,2,206,150,56,23,13
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - PROJECTES I DIRECCIÓ D'OBRES DE DECORACIÓ,P,47,30,17,0,4
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - PUNTES ARTÍSTIQUES,1,4,4,0,5,1
